match_date,season,team1,team2,winner,rest_t1,rest_t2,rest_diff,t1_won
2010-03-22,2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,2,2,0,1
2010-03-23,2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,3,4,-1,1
2010-03-24,2010,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,5,4,1,0
2010-03-25,2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,2,4,-2,0
2010-03-25,2010,Chennai Super Kings,Mumbai Indians,Mumbai Indians,2,3,-1,0
2010-03-26,2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2,5,-3,1
2010-03-27,2010,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,3,5,-2,0
2010-03-28,2010,Deccan Chargers,Mumbai Indians,Mumbai Indians,2,3,-1,0
2010-03-28,2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,2,3,-1,1
2010-03-29,2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,4,2,2,1
2010-03-30,2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,2,3,-1,1
2010-03-31,2010,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3,6,-3,1
2010-03-31,2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,2,3,-1,1
2010-04-01,2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,3,4,-1,1
2010-04-02,2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2010-04-03,2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,3,3,0,1
2010-04-03,2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,4,2,2,1
2010-04-04,2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,4,2,2,1
2010-04-04,2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,3,2,1,0
2010-04-05,2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,2,2,0,0
2010-04-06,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,3,3,0,1
2010-04-07,2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,3,3,0,1
2010-04-07,2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,2,3,-1,1
2010-04-08,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,4,3,1,0
2010-04-09,2010,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,2,3,-1,1
2010-04-10,2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,2,4,-2,1
2010-04-10,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,2,3,-1,1
2010-04-11,2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians,4,2,2,0
2010-04-11,2010,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,4,2,2,0
2010-04-12,2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,2,2,0,1
2010-04-13,2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,3,3,0,1
2010-04-13,2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,2,2,0,1
2010-04-14,2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,3,2,1,0
2010-04-15,2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,2,2,0,0
2010-04-16,2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,5,4,1,0
2010-04-17,2010,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,4,3,1,1
2010-04-17,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,3,4,-1,0
2010-04-18,2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,2,3,-1,0
2010-04-18,2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers,3,2,1,0
2010-04-19,2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,2,2,0,1
2010-04-21,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4,2,2,0
2010-04-22,2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,4,4,0,1
2010-04-24,2010,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,3,2,1,1
2010-04-25,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,3,4,-1,1
2011-04-11,2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,3,2,1,1
2011-04-12,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,3,2,1,0
2011-04-12,2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,3,2,1,1
2011-04-13,2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,3,5,-2,1
2011-04-13,2011,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,3,4,-1,1
2011-04-14,2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,3,2,1,1
2011-04-15,2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,3,2,1,0
2011-04-15,2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,3,4,-1,0
2011-04-16,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3,2,1,1
2011-04-16,2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,2,3,-1,0
2011-04-17,2011,Pune Warriors,Delhi Daredevils,Delhi Daredevils,4,5,-1,0
2011-04-17,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,2,2,0,1
2011-04-18,2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,3,2,1,1
2011-04-19,2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers,2,3,-1,0
2011-04-20,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,3,2,1,0
2011-04-20,2011,Mumbai Indians,Pune Warriors,Mumbai Indians,5,3,2,1
2011-04-21,2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,5,4,1,1
2011-04-22,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,2,6,-4,0
2011-04-22,2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,2,4,-2,1
2011-04-23,2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,4,2,2,1
2011-04-24,2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,3,4,-1,1
2011-04-24,2011,Deccan Chargers,Mumbai Indians,Mumbai Indians,5,2,3,0
2011-04-25,2011,Chennai Super Kings,Pune Warriors,Chennai Super Kings,3,5,-2,1
2011-04-26,2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,3,4,-1,0
2011-04-27,2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,3,3,0,0
2011-04-27,2011,Pune Warriors,Chennai Super Kings,Chennai Super Kings,2,2,0,0
2011-04-28,2011,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,2,6,-4,0
2011-04-29,2011,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,3,2,1,1
2011-04-29,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,5,5,0,1
2011-04-30,2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,2,7,-5,1
2011-04-30,2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,3,2,1,0
2011-05-01,2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,4,4,0,1
2011-05-01,2011,Rajasthan Royals,Pune Warriors,Rajasthan Royals,2,2,0,1
2011-05-02,2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians,3,2,1,1
2011-05-02,2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,2,2,0,0
2011-05-03,2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,2,3,-1,0
